T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.001518131568578732,0.014809726132091057,0.0036337079877684824,Parking,5301.73,1198.7752082855234,-1209.2891627950237,Parking
0.0007658665969510504,0.005560073239773829,0.0013588033312780573,Parking,5301.83,1244.4673559398816,-1339.5717846083305,Parking
0.0005909604923262735,0.00651908826396271,0.0016011618586518797,Parking,5301.93,1077.0199626747872,-1442.7572404226337,Parking
0.0020046384918644623,0.01865856409438268,0.0045810538139212775,Parking,5302.03,904.9740327766317,-1491.1621178476669,Parking
0.0013909695070909835,0.01208998664554522,0.002967804760261792,Parking,5302.13,1370.7045633541898,-1478.2057272849177,Parking
0.0014091636705364037,0.011622773012593679,0.0028467812693489455,Parking,5302.23,983.7535260419654,-1396.3449189118426,Parking
0.0023261247689701234,0.021498750650450458,0.005264696652210206,Parking,5302.33,1137.503846147344,-1235.9708430391204,Parking
0.0014992229636647586,0.017833517270357865,0.0043741943391618415,Parking,5302.44,1245.5019068632532,-998.2645357134827,Parking
0.00135186281460338,0.0056429814912714845,0.0012631740828155647,Parking,5302.53,962.2260649140617,-694.7998798074954,Parking
0.0022646233835952557,0.0208770618449036,0.005124674866805152,Parking,5302.64,692.1286007672273,-330.4554717520307,Parking
0.0006805224797063279,0.008375135851414077,0.002057392076646784,Parking,5302.74,1387.8551797648054,78.16020197640192,Parking
0.0013348654237809103,0.008848462562670432,0.002155883117603912,Parking,5302.84,889.7701950503849,506.40870499253475,Parking
0.0013186527128085897,0.009867965791311327,0.0024098185504973554,Parking,5302.94,1030.2849120510307,937.6719129086074,Parking
0.00107309767978013,0.0074439215535072375,0.0018204318393438422,Parking,5303.04,1202.0524115029261,1361.6668299880298,Parking
0.0012965771424459198,0.012247437811798241,0.0030030211746612,Parking,5303.14,937.259302434497,1743.4938724956262,Parking
0.002580170999845447,0.019074920309252095,0.004672800843187777,Parking,5303.24,1108.8597747235672,2065.7551205816394,Parking
0.002646465482527611,0.01956513140867544,0.004800126931414577,Parking,5303.34,1207.1126707975523,2329.5393075200573,Parking
0.0007821442898700514,0.00882077974739317,0.002166492543113295,Parking,5303.44,1027.2287963253366,2510.3866887598156,Parking
0.0037739841200530888,0.03263431119247558,0.008010523243080665,Parking,5303.54,1045.3229166147655,2602.6830158053526,Parking
0.0017284418623728485,0.012871826444195846,0.0031413295538436905,Parking,5303.64,1546.326614916784,2594.720245394086,Parking
0.0009032071111709844,0.01168701649951791,0.0028704865763126254,Parking,5303.74,857.268919301289,2478.6601804879665,Parking
0.0016679041416494205,0.018689319158508196,0.004586972439343233,Parking,5303.85,899.0684067411111,2267.7979916003046,Parking
0.002266401503131885,0.016167736639205208,0.003960245362237955,Parking,5303.95,1326.2220779341596,1962.4688622673211,Parking
0.001316928041724688,0.012698494362149395,0.003107241542210341,Parking,5304.05,1258.0882321999518,1563.0416421606692,Parking
0.0017156176243242284,0.015609662068955227,0.003830272989829754,Parking,5304.15,949.185440259173,1087.9160574408727,Parking
0.0011402516809131433,0.008056873961192828,0.0019361086885329396,Parking,5304.25,1217.8793043647634,579.6753399655344,Parking
